X,Y,ID,NOMBRE,MUNICIPIO,PROVINCIA,ALTURA,LATITUD,LONGITUD
-8.501944444444444,42.69361111111111,1468X,A Estrada,"Estrada, A",Pontevedra,269,42 41 37,-08 30 07
-8.774722222222222,42.584722222222226,1477V,VilagarcÍa de Arousa,Vilagarcía de Arousa,Pontevedra,32,42 35 05,-08 46 29
-8.615833333333333,42.438333333333333,1484C,Pontevedra,Pontevedra,Pontevedra,108,42 26 18,-08 36 57
-8.451111111111111,42.406944444444441,1489A,A Lama,"Lama, A",Pontevedra,395,42 24 25,-08 27 04
-8.623888888888889,42.239444444444445,1495,Vigo Aeropuerto,Redondela,Pontevedra,261,42 14 22,-08 37 26
-8.724166666666667,42.230555555555554,1496X,Vigo,Vigo,Pontevedra,120,42 13 50,-08 43 27
-8.281111111111111,42.218055555555559,1719,A Cañiza,"Cañiza, A",Pontevedra,560,42 13 05,-08 16 52
-8.492777777777778,42.182222222222222,1723X,"Ponteareas, Canedo",Ponteareas,Pontevedra,90,42 10 56,-08 29 34
-8.8475,41.943888888888885,1730E,O Rosal,"Rosal, O",Pontevedra,55,41 56 38,-08 50 51
-5.643333333333334,40.675555555555555,2847X,Pedrosillo de Los Aires,Pedrosillo de los Aires,Salamanca,865,40 40 32,-05 38 36
-5.366111111111111,40.732222222222219,2863C,Pedraza de Alba,Pedraza de Alba,Salamanca,897,40 43 56,-05 21 58
-5.498333333333333,40.959444444444443,2867,Salamanca Aeropuerto,Calvarrasa de Abajo,Salamanca,790,40 57 34,-05 29 54
-5.662222222222223,40.9575,2870,Salamanca,Salamanca,Salamanca,775,40 57 27,-05 39 44
-5.779722222222222,40.903611111111111,2873X,Barbadillo,Barbadillo,Salamanca,817,40 54 13,-05 46 47
-6.100277777777777,41.200555555555553,2883R,Ledesma,Ledesma,Salamanca,775,41 12 02,-06 06 01
-6.4625,41.263055555555553,2891A,Villarino de los Aires,Villarino de los Aires,Salamanca,690,41 15 47,-06 27 45
-6.202777777777778,40.786111111111111,2914C,Boadilla Fuente San Esteban,"Fuente de San Esteban, La",Salamanca,785,40 47 10,-06 12 10
-6.437777777777778,41.011388888888888,2916A,Vitigudino,Vitigudino,Salamanca,769,41 00 41,-06 26 16
-6.223611111111111,40.569444444444443,2918Y,El Maíllo,"Maíllo, El",Salamanca,1027,40 34 10,-06 13 25
-6.608888888888889,40.851388888888891,2926B,Bañobárez,Bañobárez,Salamanca,748,40 51 05,-06 36 32
-6.812777777777778,40.296666666666667,2930Y,Navasfrías,Navasfrías,Salamanca,880,40 17 48,-06 48 46
-6.576944444444445,40.485,2945A,El Bodón Base Aérea,"Bodón, El",Salamanca,805,40 29 06,-06 34 37
-6.6,40.635,2946X,Saelices El Chico,Saelices el Chico,Salamanca,680,40 38 06,-06 36 00
-3.507222222222222,41.372777777777777,2135A,Fresno de Cantiespino,Fresno de Cantespino,Segovia,993,41 22 22,-03 30 26
-3.785833333333333,41.464444444444446,2140A,Aldeanueva de Serrezuela,Aldeanueva de la Serrezuela,Segovia,1135,41 27 52,-03 47 09
-3.475277777777778,41.191944444444445,2150H,"La Pinilla, estación de esquí",Cerezo de Arriba,Segovia,1860,41 11 31,-03 28 31
-3.790277777777778,41.13388888888889,2182C,Pedraza,Pedraza,Segovia,1107,41 08 02,-03 47 25
-4.265555555555555,41.383611111111108,2192C,Cuéllar,Cuéllar,Segovia,795,41 23 01,-04 15 56
-4.126388888888889,40.945277777777775,2465,Segovia,Segovia,Segovia,1005,40 56 43,-04 07 35
-4.210555555555556,40.718055555555559,2471Y,San Rafael,"Espinar, El",Segovia,1260,40 43 05,-04 12 38
-4.375833333333333,41.12638888888889,2482B,Miguelañez,Migueláñez,Segovia,870,41 07 35,-04 22 33
-4.77,37.194444444444443,5612B,La Roda de Andalucía,"Roda de Andalucía, La",Sevilla,410,37 11 40,-04 46 12
-4.826944444444445,37.270277777777778,5612X,Lora de Estepa,Lora de Estepa,Sevilla,450,37 16 13,-04 49 37
-5.085277777777778,37.516111111111108,5641X,Écija,Écija,Sevilla,130,37 30 58,-05 05 07
-5.371388888888889,37.786666666666669,5654X,La Puebla de los Infantes,"Puebla de los Infantes, La",Sevilla,200,37 47 12,-05 22 17
-5.433055555555556,37.49722222222222,5656,Fuentes de Andalucía,Fuentes de Andalucía,Sevilla,165,37 29 50,-05 25 59
-5.740555555555556,37.565555555555555,5702X,Carmona,Carmona,Sevilla,50,37 33 56,-05 44 26
-5.769722222222223,37.926388888888887,5704B,Cazalla de la Sierra,Cazalla de la Sierra,Sevilla,550,37 55 35,-05 46 11
-5.819166666666667,38.099444444444444,5726X,Guadalcanal,Guadalcanal,Sevilla,720,38 05 58,-05 49 09
-5.879166666666666,37.416666666666664,5783,Sevilla Aeropuerto,Sevilla,Sevilla,34,37 25 00,-05 52 45
-6.004444444444444,37.36611111111111,5790Y,"Sevilla, Tablada",Sevilla,Sevilla,9,37 21 58,-06 00 16
-6.334166666666667,37.36,5835X,Carrión de los Céspedes,Carrión de los Céspedes,Sevilla,76,37 21 36,-06 20 03
-5.846666666666667,36.953333333333333,5891X,Las Cabezas de San Juan,"Cabezas de San Juan, Las",Sevilla,105,36 57 12,-05 50 48
-5.1125,37.243333333333332,5998X,Osuna,Osuna,Sevilla,255,37 14 36,-05 06 45
-2.782777777777778,41.967777777777776,2005Y,Vinuesa,Vinuesa,Soria,1197,41 58 04,-02 46 58
-2.494166666666667,41.99583333333333,2017Y,"La Póveda de Soria, Barriomartín","Póveda de Soria, La",Soria,1260,41 59 45,-02 29 39
-2.483055555555556,41.775,2030,Soria,Soria,Soria,1082,41 46 30,-02 28 59
-2.5075,41.600555555555559,2044B,Lubia,Cubo de la Solana,Soria,1100,41 36 02,-02 30 27
-2.420277777777778,41.419444444444444,2048A,Morón de Almazán,Morón de Almazán,Soria,978,41 25 10,-02 25 13
-2.783333333333333,41.349722222222219,2059B,La Riba de Escalote,"Riba de Escalote, La",Soria,1042,41 20 59,-02 47 00
-3.046944444444444,41.721944444444446,2084Y,Ucero,Ucero,Soria,960,41 43 19,-03 02 49
-3.086944444444444,41.589444444444446,2092,Burgo de Osma,Burgo de Osma-Ciudad de Osma,Soria,932,41 35 22,-03 05 13
-3.251388888888889,41.37361111111111,2096B,Liceras,Liceras,Soria,1150,41 22 25,-03 15 05
-1.976666666666667,41.775555555555556,2296A,Ólvega,Ólvega,Soria,1039,41 46 32,-01 58 36
-2.230833333333333,42.026388888888889,9287A,San Pedro Manrique,San Pedro Manrique,Soria,1096,42 01 35,-02 13 51
-2.293055555555556,41.216388888888886,9344C,Arcos de Jalón,Arcos de Jalón,Soria,863,41 12 59,-02 17 35
-2.140277777777778,41.574722222222221,9352A,Almazul,Almazul,Soria,1000,41 34 29,-02 08 25
-17.985555555555557,28.760833333333334,C117A,Puntagorda,Puntagorda,Santa Cruz de Tenerife,684,28 45 39,-17 59 08
-17.936944444444446,28.674722222222222,C117Z,Tijarafe,Tijarafe,Santa Cruz de Tenerife,733,28 40 29,-17 56 13
-17.853333333333332,28.65388888888889,C126A,El Paso,"Paso, El",Santa Cruz de Tenerife,844,28 39 14,-17 51 12
-17.915277777777778,28.595833333333335,C129Z,Tazacorte,Tazacorte,Santa Cruz de Tenerife,62,28 35 45,-17 54 55
-17.755,28.633055555555554,C139E,La Palma Aeropuerto,Breña Baja,Santa Cruz de Tenerife,33,28 37 59,-17 45 18
-17.7825,28.805,C148F,San Andrés y Sauces,San Andrés y Sauces,Santa Cruz de Tenerife,362,28 48 18,-17 46 57
-17.249166666666667,28.106944444444444,C314Z,"Vallehermoso, Alto Igualero",Vallehermoso,Santa Cruz de Tenerife,1475,28 06 25,-17 14 57
-17.263333333333332,28.110833333333332,C315P,"Vallehermoso, Chipude C.F.",Vallehermoso,Santa Cruz de Tenerife,1242,28 06 39,-17 15 48
-17.213055555555556,28.178888888888888,C317B,Agulo,Agulo,Santa Cruz de Tenerife,765,28 10 44,-17 12 47
-17.306666666666665,28.054444444444446,C319W,"Vallehermoso, Dama",Vallehermoso,Santa Cruz de Tenerife,190,28 03 16,-17 18 24
-17.194166666666668,28.163611111111113,C328W,Hermigua,Hermigua,Santa Cruz de Tenerife,252,28 09 49,-17 11 39
-17.111388888888889,28.089722222222221,C329Z,San Sebastián de la Gomera,San Sebastián de la Gomera,Santa Cruz de Tenerife,15,28 05 23,-17 06 41
-16.62638888888889,28.224166666666665,C406G,"La Orotava, Cañadas Teide","Orotava, La",Santa Cruz de Tenerife,2150,28 13 27,-16 37 35
-16.711111111111112,28.081388888888888,C419X,Adeje,Adeje,Santa Cruz de Tenerife,130,28 04 53,-16 42 40
-16.483611111111109,28.181111111111111,C428T,Arico,Arico,Santa Cruz de Tenerife,418,28 10 52,-16 29 01
-16.560833333333335,28.0475,C429I,Tenerife Sur Aeropuerto,Granadilla de Abona,Santa Cruz de Tenerife,64,28 02 51,-16 33 39
-16.499444444444446,28.308888888888887,C430E,Izaña,Güímar,Santa Cruz de Tenerife,2371,28 18 32,-16 29 58
-16.401388888888889,28.358888888888888,C438N,Candelaria,Candelaria,Santa Cruz de Tenerife,463,28 21 32,-16 24 05
-16.280555555555555,28.526666666666667,C446G,"San Cristóbal de La Laguna,Llano de los Loros",San Cristóbal de La Laguna,Santa Cruz de Tenerife,868,28 31 36,-16 16 50
-16.329444444444444,28.4775,C447A,Tenerife Norte Aeropuerto,San Cristóbal de La Laguna,Santa Cruz de Tenerife,632,28 28 39,-16 19 46
-16.255277777777778,28.463333333333335,C449C,Sta.Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife,35,28 27 48,-16 15 19
-16.195555555555554,28.508055555555554,C449F,Anaga,Santa Cruz de Tenerife,Santa Cruz de Tenerife,19,28 30 29,-16 11 44
-16.454722222222223,28.434722222222224,C457I,La Victoria de Acentejo,"Victoria de Acentejo, La",Santa Cruz de Tenerife,567,28 26 05,-16 27 17
-16.42,28.496388888888887,C458A,Tacoronte,Tacoronte,Santa Cruz de Tenerife,310,28 29 47,-16 25 12
-16.548055555555557,28.418055555555554,C459Z,Puerto de la Cruz,Puerto de la Cruz,Santa Cruz de Tenerife,25,28 25 05,-16 32 53
-16.629722222222224,28.389722222222222,C468B,San Juan de la Rambla,San Juan de la Rambla,Santa Cruz de Tenerife,370,28 23 23,-16 37 47
-16.8175,28.378611111111113,C469N,Los Silos,"Silos, Los",Santa Cruz de Tenerife,28,28 22 43,-16 49 03
-17.978055555555557,27.718888888888888,C916Q,"El Pinar, Depósito","Pinar de El Hierro, El",Santa Cruz de Tenerife,948,27 43 08,-17 58 41
-18.115,27.725277777777777,C917E,"El Pinar, La Dehesa","Pinar de El Hierro, El",Santa Cruz de Tenerife,715,27 43 31,-18 06 54
-17.96,27.76861111111111,C925F,Valverde,Valverde,Santa Cruz de Tenerife,1070,27 46 07,-17 57 36
-17.888888888888889,27.818888888888889,C929I,Hierro Aeropuerto,Valverde,Santa Cruz de Tenerife,32,27 49 08,-17 53 20
-18.106666666666666,27.756388888888889,C939T,"Frontera, Sabinosa",Frontera,Santa Cruz de Tenerife,20,27 45 23,-18 06 24
0.963333333333333,41.213888888888889,0009X,Alforja,Alforja,Tarragona,406,41 12 50,00 57 48
1.178888888888889,41.149722222222223,0016A,Reus Aeropuerto,Constantí,Tarragona,71,41 08 59,01 10 44
1.260833333333333,41.293055555555554,0034X,Valls,Valls,Tarragona,229,41 17 35,01 15 39
1.249166666666667,41.123888888888892,0042Y,Tarragona,Tarragona,Tarragona,60,41 07 26,01 14 57
1.309444444444444,41.557222222222222,9726E,Llorac,Llorac,Tarragona,660,41 33 26,01 18 34
0.311666666666667,40.953055555555558,9946X,Horta de Sant Joan,Horta de Sant Joan,Tarragona,500,40 57 11,00 18 42
0.353333333333333,41.17722222222222,9947X,La Pobla de Massaluca,"Pobla de Massaluca, La",Tarragona,365,41 10 38,00 21 12
0.735277777777778,41.249444444444443,9961X,Cabacés,Cabacés,Tarragona,360,41 14 58,00 44 07
0.601666666666667,41.001111111111108,9975X,Rasquera,Rasquera,Tarragona,186,41 00 04,00 36 06
0.493333333333333,40.820277777777775,9981A,Tortosa,Roquetes,Tarragona,47,40 49 13,00 29 36
0.81,40.69916666666667,9987P,Sant Jaume d'Enveja,Sant Jaume d'Enveja,Tarragona,1,40 41 57,00 48 36
-1.441388888888889,40.419722222222219,8354X,Albarracín,Albarracín,Teruel,1130,40 25 11,-01 26 29
-1.124166666666667,40.350555555555559,8368U,Teruel,Teruel,Teruel,900,40 21 02,-01 07 27
-1.411666666666667,40.236111111111114,8376,Jabaloyas,Jabaloyas,Teruel,1430,40 14 10,-01 24 42
-0.849444444444444,40.430555555555557,8458X,Cedrillas,Cedrillas,Teruel,1380,40 25 50,-00 50 58
-0.454444444444444,40.3625,8486X,Mosqueruela,Mosqueruela,Teruel,1515,40 21 45,-00 27 16
-1.320833333333333,40.56666666666667,9374X,"Teruel, Santa Eulalia del Campo",Santa Eulalia,Teruel,1000,40 34 00,-01 19 15
-1.293333333333333,40.926111111111112,9381I,Calamocha,Calamocha,Teruel,890,40 55 34,-01 17 36
-1.0875,40.99527777777778,9436X,Fonfría,Fonfría,Teruel,1255,40 59 43,-01 05 15
-0.805555555555556,41.031111111111109,9513X,Muniesa,Muniesa,Teruel,800,41 01 52,-00 48 20
-0.793055555555556,40.828611111111108,9531X,Montalbán,Montalbán,Teruel,895,40 49 43,-00 47 35
-0.441944444444444,41.171944444444442,9546B,Hijar,Híjar,Teruel,305,41 10 19,-00 26 31
-0.407777777777778,40.974444444444444,9550C,Andorra,Andorra,Teruel,762,40 58 28,-00 24 28
-0.315277777777778,40.798333333333332,9561X,Castellote,Castellote,Teruel,755,40 47 54,-00 18 55
-0.237777777777778,40.946666666666665,9569A,Calanda,Calanda,Teruel,480,40 56 48,-00 14 16
-0.141666666666667,41.058055555555555,9573X,Alcañiz,Alcañiz,Teruel,334,41 03 29,-00 08 30
0.146111111111111,40.873333333333335,9935X,Valderrobres,Valderrobres,Teruel,482,40 52 24,00 08 46
-1.494444444444444,40.921388888888892,9998X,Bello,Bello,Teruel,1006,40 55 17,-01 29 40
-3.496111111111111,39.935,3099Y,Ocaña,Ocaña,Toledo,733,39 56 06,-03 29 46
-3.505833333333333,39.696111111111108,3245Y,Tembleque,Tembleque,Toledo,635,39 41 46,-03 30 21
-3.780555555555555,39.736944444444447,3254Y,Mora,Mora,Toledo,717,39 44 13,-03 46 50
-4.045277777777778,39.884722222222223,3260B,Toledo,Toledo,Toledo,515,39 53 05,-04 02 43
-4.350555555555555,39.546944444444442,3298X,San Pablo de los Montes,San Pablo de los Montes,Toledo,917,39 32 49,-04 21 02
-4.476944444444444,39.630555555555553,3305Y,Navahermosa,Navahermosa,Toledo,750,39 37 50,-04 28 37
-4.680555555555555,40.108055555555552,3362Y,Castillo de Bayuela,Castillo de Bayuela,Toledo,560,40 06 29,-04 40 50
-4.863333333333333,39.958611111111111,3365A,Talavera de la Reina,Talavera de la Reina,Toledo,372,39 57 31,-04 51 48
-5.114444444444445,39.993333333333332,3427Y,Oropesa,Oropesa,Toledo,345,39 59 36,-05 06 52
-3.528333333333333,39.491944444444442,4067,Madridejos,Madridejos,Toledo,690,39 29 31,-03 31 42
-5.020277777777777,39.44638888888889,4236Y,Puerto del Rey,Sevilleja de la Jara,Toledo,620,39 26 47,-05 01 13
-0.095833333333333,38.928888888888892,8058X,Oliva,Oliva,València/Valencia,5,38 55 44,-00 05 45
-0.304722222222222,39.016944444444448,8072Y,Barx,Barx,València/Valencia,340,39 01 01,-00 18 17
-1.094444444444445,39.208333333333336,8193E,Jalance,Jalance,València/Valencia,372,39 12 30,-01 05 40
-0.79,39.133611111111108,8270X,Bicorp,Bicorp,València/Valencia,305,39 08 01,-00 47 24
-0.607777777777778,38.829444444444448,8283X,Ontinyent,Ontinyent,València/Valencia,350,38 49 46,-00 36 28
-0.882777777777778,38.921111111111109,8290X,Enguera,Enguera,València/Valencia,740,38 55 16,-00 52 58
-0.523611111111111,39.001666666666665,8293X,Xàtiva,Xàtiva,València/Valencia,88,39 00 06,-00 31 25
-0.445833333333333,39.113333333333337,8300X,Carcaixent,Carcaixent,València/Valencia,25,39 06 48,-00 26 45
-1.244722222222222,39.575277777777778,8309X,Utiel,Utiel,València/Valencia,761,39 34 31,-01 14 41
-0.856944444444444,39.450833333333335,8319X,Buñol,Buñol,València/Valencia,585,39 27 03,-00 51 25
-0.371944444444444,39.18472222222222,8325X,Polinyà de Xúquer,Polinyà de Xúquer,València/Valencia,12,39 11 05,-00 22 19
-0.624722222222222,39.392222222222223,8337X,Turís,Turís,València/Valencia,186,39 23 32,-00 37 29
-1.283611111111111,40.060555555555553,8381X,Ademuz,Ademuz,València/Valencia,705,40 03 38,-01 17 01
-0.993055555555556,39.75333333333333,8395X,Chelva,Chelva,València/Valencia,515,39 45 12,-00 59 35
-0.653888888888889,39.663888888888891,8409X,Lliria,Llíria,València/Valencia,198,39 39 50,-00 39 14
-0.474444444444444,39.485277777777775,8414A,Valencia Aeropuerto,Manises,València/Valencia,69,39 29 07,-00 28 28
-0.366388888888889,39.480555555555554,8416Y,Valencia,Valencia,València/Valencia,11,39 28 50,-00 21 59
-4.118333333333333,41.593055555555559,2166Y,Peñafiel,Peñafiel,Valladolid,756,41 35 35,-04 07 06
-4.405555555555556,41.611944444444447,2172Y,Sardón de Duero,Sardón de Duero,Valladolid,740,41 36 43,-04 24 20
-4.754444444444444,41.640833333333333,2422,Valladolid,Valladolid,Valladolid,735,41 38 27,-04 45 16
-4.691944444444444,41.28,2503B,"Olmedo, Depósito de Agua",Olmedo,Valladolid,786,41 16 48,-04 41 31
-4.686944444444444,41.325833333333335,2503X,Olmedo,Olmedo,Valladolid,740,41 19 33,-04 41 13
-4.965277777777778,41.424444444444447,2507Y,Rueda,Rueda,Valladolid,715,41 25 28,-04 57 55
-4.939722222222223,41.172777777777775,2517A,Fuente el Sol,Fuente el Sol,Valladolid,755,41 10 22,-04 56 23
-4.995277777777778,42.086111111111109,2593D,Villalón de Campos,Villalón de Campos,Valladolid,763,42 05 10,-04 59 43
-5.040277777777778,41.875833333333333,2604B,Medina de Rioseco,Medina de Rioseco,Valladolid,731,41 52 33,-05 02 25
-5.271666666666667,41.548611111111114,2536D,Morales del Toro,Morales de Toro,Zamora,710,41 32 55,-05 16 18
-5.481388888888889,41.236666666666665,2555B,Fuentesauco,Fuentesaúco,Zamora,811,41 14 12,-05 28 53
-5.5925,41.856388888888887,2611D,Villafáfila,Villafáfila,Zamora,690,41 51 23,-05 35 33
-5.735277777777778,41.515555555555558,2614,Zamora,Zamora,Zamora,656,41 30 56,-05 44 07
-6.64,42.082222222222221,2766E,Puebla de Sanabria,Robleda-Cervantes,Zamora,935,42 04 56,-06 38 24
-6.279722222222222,41.941388888888888,2775X,Villardeciervos,Villardeciervos,Zamora,850,41 56 29,-06 16 47
-6.007222222222222,42.078055555555558,2777K,Santibañez de Vidriales,Santibáñez de Vidriales,Zamora,737,42 04 41,-06 00 26
-5.908888888888889,41.785555555555554,2789H,Pozuelo de Tabara,Pozuelo de Tábara,Zamora,711,41 47 08,-05 54 32
-6.141944444444444,41.533888888888889,2804F,Villadepera,Villadepera,Zamora,790,41 32 02,-06 08 31
-6.022222222222222,41.304444444444442,2885K,Fresno de Sayago,Fresno de Sayago,Zamora,804,41 18 16,-06 01 20
-6.301388888888889,41.68333333333333,2966D,Alcañices,Alcañices,Zamora,840,41 41 00,-06 18 05
-1.213611111111111,42.490833333333335,9244X,Sos del Rey Católico,Sos del Rey Católico,Zaragoza,626,42 29 27,-01 12 49
-1.723333333333333,41.914722222222224,9299X,Tarazona,Tarazona,Zaragoza,475,41 54 53,-01 43 24
-1.139722222222222,42.121111111111112,9321X,Ejea de los Caballeros,Ejea de los Caballeros,Zaragoza,321,42 07 16,-01 08 23
-0.995833333333333,41.984166666666667,9336D,Castejon de Valdejasa,Castejón de Valdejasa,Zaragoza,442,41 59 03,-00 59 45
-1.895277777777778,41.293055555555554,9354X,Alhama de Aragon,Alhama de Aragón,Zaragoza,703,41 17 35,-01 53 43
-1.41,41.114444444444445,9390,Daroca,Daroca,Zaragoza,779,41 06 52,-01 24 36
-1.645277777777778,41.331111111111113,9394X,Calatayud,Calatayud,Zaragoza,600,41 19 52,-01 38 43
-1.380833333333333,41.481111111111112,9427X,La Almunia de Doña Godina,"Almunia de Doña Godina, La",Zaragoza,370,41 28 52,-01 22 51
-0.935,41.62083333333333,9434P,"Zaragoza, Valdespartera",Zaragoza,Zaragoza,254,41 37 15,-00 56 06
-0.882222222222222,41.633333333333333,9443V,"Zaragoza, Canal",Zaragoza,Zaragoza,258,41 38 00,-00 52 56
-0.617222222222222,41.796666666666667,9495Y,Leciñena,Leciñena,Zaragoza,405,41 47 48,-00 37 02
-0.885833333333333,41.443055555555553,9501X,Valmadrid,Valmadrid,Zaragoza,535,41 26 35,-00 53 09
-0.503888888888889,41.429166666666667,9510X,Quinto,Quinto,Zaragoza,205,41 25 45,-00 30 14
-0.037777777777778,41.230277777777779,9574X,Caspe,Caspe,Zaragoza,190,41 13 49,-00 02 16
-0.174444444444444,41.5225,9576C,Bujaraloz,"Almolda, La",Zaragoza,357,41 31 21,-00 10 28
